buffer_size,policy,summarisation_level,n,successes,accuracy,avg_usage_total,avg_steps,ci_low,ci_high
64,summarising_recency,cognitive,200,141,0.705,2116.1,5.105,0.6384115802925058,0.7638615572809827
64,summarising_recency,heavy,200,142,0.71,2106.405,5.095,0.6436239464268834,0.7684607310874219
64,summarising_recency,light,200,136,0.68,2194.83,5.31,0.612479733946457,0.7407357039229475
128,summarising_recency,cognitive,200,144,0.72,2165.805,5.215,0.6540756858222899,0.7776320715736488
128,summarising_recency,heavy,200,144,0.72,2193.035,5.245,0.6540756858222899,0.7776320715736488
128,summarising_recency,light,200,136,0.68,2223.49,5.34,0.612479733946457,0.7407357039229475
256,summarising_recency,cognitive,200,159,0.795,1814.115,4.035,0.7337418048192546,0.8451390516889363
256,summarising_recency,heavy,200,159,0.795,1895.135,4.195,0.7337418048192546,0.8451390516889363
256,summarising_recency,light,200,155,0.775,1935.075,4.31,0.7122575346140798,0.8273771621308439
