buffer_size,n,successes,accuracy,avg_usage_total,avg_steps,ci_low,ci_high
64,600,419,0.6983333333333334,2139.1116666666667,5.17,0.6604406651991036,0.7337024345807063
128,600,424,0.7066666666666667,2194.11,5.266666666666667,0.6690133642720902,0.7416903699522494
256,600,473,0.7883333333333333,1881.4416666666666,4.18,0.7538655298077712,0.8191324219729608
