policy,n,successes,accuracy,avg_usage_total,avg_steps,ci_low,ci_high
full_context,200,174,0.87,1912.67,3.125,0.8163353692726989,0.9097185863477437
random,600,443,0.7383333333333333,2089.655,4.895,0.701725664866064,0.7719084802474888
summarising_recency,600,443,0.7383333333333333,2075.015,4.876666666666667,0.701725664866064,0.7719084802474888
recency,600,435,0.725,2007.99,4.701666666666667,0.6879250597937813,0.759212070208524
importance,600,433,0.7216666666666667,2040.74,4.81,0.6844811475651119,0.7560317286593815
