buffer_size,n,successes,accuracy,avg_usage_total,avg_steps,ci_low,ci_high
64,800,571,0.71375,2130.94125,5.105,0.6814641867637778,0.7439927689349568
128,800,551,0.68875,2129.32125,5.12625,0.6558274095161759,0.7198684987324143
256,1000,806,0.806,1902.364,4.01,0.7803389611908129,0.8293189768743163
